feature,importance
V236,84.89563012619813
V16,80.95015963725746
V142,80.56802789866924
V183,77.31860201786428
V68,77.1806577021877
V334,72.51836775739987
V330,69.2129183659951
V141,68.25313792129357
V327,65.67825025692582
V108,64.21046335498492
V31,64.1780459706982
M1,62.33759460846583
V196,60.54074962002536
V195,55.5683522435526
V121,52.573094526926674
V191,50.99559264195462
V110,50.95860361556212
V174,48.23432148247957
V114,46.81939301888148
V252,46.280203039447464
V181,46.2444561480855
V104,42.07304783041278
V328,36.3977263684695
V118,34.21003780762354
V111,30.401471078395844
V138,27.861458922425907
V269,24.54696069067965
V325,19.051676760117214
V113,17.095068256060284
V119,12.934213320414225
V120,12.219618906577429
V122,10.677539984385172
V65,9.224881500005722
V1,8.226588428020477
V240,4.673773676156998
V41,3.886683225631714
V89,3.4870156745115914
V88,2.992656628290812
V14,2.7069334189097085
V117,2.2109433809916177
V28,2.0445566972096763
V27,0.6952943354845047
V241,0.0
V305,0.0
V107,0.0
